tag,count
frying pan,24
rv,24
muffin,24
huge,23
lock,23
skate park,23
driveway,23
typewriter,23
display case,23
poppy,23
camel,23
race car,23
laundry basket,23
crayon,23
night view,23
chase,23
architecture,23
burn,23
ham,23
protest,23
lead to,23
canyon,23
graph,23
tablet computer,23
jewelry,22
cooler,22
cabbage,22
stethoscope,22
peak,22
firefighter,22
thermometer,22
gazebo,22
fishing rod,22
table lamp,22
yacht,22
sleigh,22
volleyball,22
web,22
ramp,22
christmas card,22
cable,22
hen,22
tree house,22
appear,21
peacock,21
baseball glove,21
hip,21
wall clock,21
glass plate,21
countryside,21
retro,21
stained,21
sewing machine,21
exhibit,21
office building,21
lens,21
greenhouse,21
pretty,21
bookstore,21
race,21
window display,21
ruin,21
puzzle,20
credit card,20
willow tree,20
shrimp,20
bomb,20
ski lift,20
ferry,20
movie poster image,20
maple leave,20
mission,20
trampoline,20
lagoon,20
sloth,20
dog house,20
gas,20
weed,20
figure skater,20
dentist,20
plum,19
easter egg,19
geranium,19
play on,19
launch,19
soccer,19
skylight,19
cemetery,19
rest,19
fight,19
coffee shop,19
cockpit,19
golden gate bridge,19
chess,19
medal,19
zebra,19
cat tree,19
maze,18
thread,18
terrace,18
recording studio,18
fair,18
presentation,18
carriage,18
tennis shoe,18
traffic signal,18
move,18
spacecraft,18
ceremony,18
bean,18
catch,18
polo shirt,18
dinner table,18
fireman,18
plaid,18
clean,18
worker,18
strike,17
video camera,17
antenna,17
band,17
tourist,17
dj,17
crowded,17
hut,17
canopy,17
vet,17
steak,17
construction worker,17
prairie,17
hose,17
aurora,17
lilac,17
resort,16
decker bus,16
food truck,16
tissue paper,16
sweet,16
knot,16
clip art,16
weapon,16
jug,16
rider,16
business,16
topping,16
corridor,16
mustard,16
overpass,16
vineyard,16
tree stump,16
mountain top,16
flashlight,16
dew,15
cello,15
art print,15
theater,15
outline,15
transparent,15
pod,15
wheelbarrow,15
blender,15
leather,15
metallic,15
swamp,15
legging,15
toilet bowl,15
ruler,15
parking meter,15
creature,15
president,15
curve,15
bill,15
planter,15
golfer,15
kick,14
radish,14
dough,14
factory,14
grid,14
trash,14
axe,14
handstand,14
hummingbird,14
novel,14
mango,14
summer,14
switch,14
grill,14
death,14
salmon,14
marsh,14
parade,14
industrial,14
thin,14
dragonfly,14
vanity,14
panel,14
businessman,14
cane,14
break,14
window box,14
patient,14
fire truck,14
skillet,13
moose,13
pillar,13
pine cone,13
treadmill,13
plank,13
rapper,13
emblem,13
parking sign,13
padlock,13
help,13
postage stamp,13
zombie,13
tablecloth,13
bathing suit,13
paper plate,13
shallow,13
pint,13
cartoon style,13
advertising,13
city view,13
football team,13
ripple,13
bear cub,13
place,13
sari,13
eggplant,13
claw,13
stormy,13
deep,13
grass field,13
tool,13
actress,13
folder,13
hedge,13
marble,12
clipboard,12
raindrop,12
project,12
sleeve,12
grocery,12
strap,12
clay,12
cheerleader,12
ram,12
fire pit,12
tablet pc,12
motorbike,12
shepherd,12
kangaroo,12
tractor,12
kayak,12
mold,12
program,12
ostrich,12
orchard,12
kettle,12
gorilla,12
shelving,12
diver,12
auditorium,12
ceiling fan,12
indoor,12
torch,12
light bulb,12
headlight,11
whiskey,11
